variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,time_bin,model_bce,global_bce,pattern_bce,improvement_vs_pattern
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,7,0.1030301079154014,0.1221917122602462,0.1121778562664985,0.081546828006456
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,8,0.0995838120579719,0.1174914315342903,0.1084311977028846,0.0815944657289102
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,9,0.096854567527771,0.1133035793900489,0.1048923805356025,0.0766291409041229
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,10,0.0950698256492614,0.1121314465999603,0.1038369610905647,0.0844317413493709
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,11,0.0949981361627578,0.1112233474850654,0.1030252054333686,0.0779136448876318
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,12,0.0929061472415924,0.1083677932620048,0.1004028990864753,0.0746666870488085
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,6,0.0921057909727096,0.1091201156377792,0.0999200642108917,0.0782052463626247
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,13,0.0895605906844139,0.1036982536315918,0.0963306799530983,0.0702796790387094
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,14,0.0866110324859619,0.0999840274453163,0.0928780287504196,0.0674755520629994
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,15,0.0819079726934433,0.0949986949563026,0.0883282124996185,0.0726861738111473
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,16,0.078846700489521,0.091051697731018,0.0848818123340606,0.0711001765700745
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,18,0.0753912851214408,0.0868162512779235,0.08087670058012,0.0678244218586179
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,17,0.0746215730905532,0.0856730490922927,0.0800036862492561,0.0672733146562092
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,19,0.0717464387416839,0.0824545249342918,0.0769932121038436,0.0681459211635852
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,20,0.0703333094716072,0.0813263356685638,0.0760366469621658,0.0750077458491361
